Time,LTC average computing power of the entire network,Price
2012-02-01,0.00002116,
2012-02-02,0.00002692,
2012-02-03,0.00003574,
2012-02-04,0.00003893,
2012-02-05,0.00004257,
2012-02-06,0.00004108,
2012-02-07,0.00004259,
2012-02-08,0.00004432,
2012-02-09,0.00004293,
2012-02-10,0.00004044,
2012-02-11,0.00004231,
2012-02-12,0.00004655,
2012-02-13,0.00004606,
2012-02-14,0.00004671,
2012-02-15,0.00004605,
2012-02-16,0.00004579,
2012-02-17,0.00004574,
2012-02-18,0.00004626,
2012-02-19,0.00005012,
2012-02-20,0.00004983,
2012-02-21,0.00004956,
2012-02-22,0.00005090,
2012-02-23,0.00005373,
2012-02-24,0.00005007,
2012-02-25,0.00004435,
2012-02-26,0.00005339,
2012-02-27,0.00004790,
2012-02-28,0.00003999,
2012-02-29,0.00003741,
2012-03-01,0.00003759,
2012-03-02,0.00004638,
2012-03-03,0.00005548,
2012-03-04,0.00007268,
2012-03-05,0.00006384,
2012-03-06,0.00005385,
2012-03-07,0.00004268,
2012-03-08,0.00004070,
2012-03-09,0.00003523,
2012-03-10,0.00003501,
2012-03-11,0.00003299,
2012-03-12,0.00003427,
2012-03-13,0.00003745,
2012-03-14,0.00004590,
2012-03-15,0.00004225,
2012-03-16,0.00003911,
2012-03-17,0.00004199,
2012-03-18,0.00004283,
2012-03-19,0.00005043,
2012-03-20,0.00005671,
2012-03-21,0.00005633,
2012-03-22,0.00005403,
2012-03-23,0.00005251,
2012-03-24,0.00005087,
2012-03-25,0.00004827,
2012-03-26,0.00004719,
2012-03-27,0.00004949,
2012-03-28,0.00005030,
2012-03-29,0.00005163,
2012-03-30,0.00005370,
2012-03-31,0.00005066,
2012-04-01,0.00004937,
2012-04-02,0.00005031,
2012-04-03,0.00004926,
2012-04-04,0.00004708,
2012-04-05,0.00004449,
2012-04-06,0.00004260,
2012-04-07,0.00004664,
2012-04-08,0.00004842,
2012-04-09,0.00004981,
2012-04-10,0.00005372,
2012-04-11,0.00005004,
2012-04-12,0.00004580,
2012-04-13,0.00004903,
2012-04-14,0.00004890,
2012-04-15,0.00004571,
2012-04-16,0.00004843,
2012-04-17,0.00004951,
2012-04-18,0.00004713,
2012-04-19,0.00004469,
2012-04-20,0.00004367,
2012-04-21,0.00004328,
2012-04-22,0.00004154,
2012-04-23,0.00004237,
2012-04-24,0.00004403,
2012-04-25,0.00004316,
2012-04-26,0.00003736,
2012-04-27,0.00003347,
2012-04-28,0.00003393,
2012-04-29,0.00003424,
2012-04-30,0.00003693,
2012-05-01,0.00004029,
2012-05-02,0.00004045,
2012-05-03,0.00003747,
2012-05-04,0.00003338,
2012-05-05,0.00003010,
2012-05-06,0.00003161,
2012-05-07,0.00003444,
2012-05-08,0.00003516,
2012-05-09,0.00003493,
2012-05-10,0.00003301,
2012-05-11,0.00003365,
2012-05-12,0.00003276,
2012-05-13,0.00003284,
2012-05-14,0.00003511,
2012-05-15,0.00003359,
2012-05-16,0.00003026,
2012-05-17,0.00002903,
2012-05-18,0.00002761,
2012-05-19,0.00002727,
2012-05-20,0.00002892,
2012-05-21,0.00002965,
2012-05-22,0.00003024,
2012-05-23,0.00003101,
2012-05-24,0.00003270,
2012-05-25,0.00003563,
2012-05-26,0.00003476,
2012-05-27,0.00003115,
2012-05-28,0.00002950,
2012-05-29,0.00003025,
2012-05-30,0.00002973,
2012-05-31,0.00003107,
2012-06-01,0.00002906,
2012-06-02,0.00002801,
2012-06-03,0.00003041,
2012-06-04,0.00002959,
2012-06-05,0.00002959,
2012-06-06,0.00003411,
2012-06-07,0.00003220,
2012-06-08,0.00003057,
2012-06-09,0.00003300,
2012-06-10,0.00003360,
2012-06-11,0.00002996,
2012-06-12,0.00003155,
2012-06-13,0.00003285,
2012-06-14,0.00003327,
2012-06-15,0.00003340,
2012-06-16,0.00003497,
2012-06-17,0.00003258,
2012-06-18,0.00003398,
2012-06-19,0.00003228,
2012-06-20,0.00003062,
2012-06-21,0.00003149,
2012-06-22,0.00003501,
2012-06-23,0.00003793,
2012-06-24,0.00004380,
2012-06-25,0.00004963,
2012-06-26,0.00005284,
2012-06-27,0.00004950,
2012-06-28,0.00005397,
2012-06-29,0.00005989,
2012-06-30,0.00006057,
2012-07-01,0.00005903,
2012-07-02,0.00006176,
2012-07-03,0.00006378,
2012-07-04,0.00007227,
2012-07-05,0.00008147,
2012-07-06,0.00009321,
2012-07-07,0.00010523,
2012-07-08,0.00014271,
2012-07-09,0.00019245,
2012-07-10,0.00018775,
2012-07-11,0.00017442,
2012-07-12,0.00016027,
2012-07-13,0.00015315,
2012-07-14,0.00016211,
2012-07-15,0.00017972,
2012-07-16,0.00018573,
2012-07-17,0.00019182,
2012-07-18,0.00020535,
2012-07-19,0.00019422,
2012-07-20,0.00019900,
2012-07-21,0.00020598,
2012-07-22,0.00020317,
2012-07-23,0.00020634,
2012-07-24,0.00024567,
2012-07-25,0.00024471,
2012-07-26,0.00024291,
2012-07-27,0.00024277,
2012-07-28,0.00026507,
2012-07-29,0.00027282,
2012-07-30,0.00030845,
2012-07-31,0.00029697,
2012-08-01,0.00028278,
2012-08-02,0.00031307,
2012-08-03,0.00030828,
2012-08-04,0.00029442,
2012-08-05,0.00027583,
2012-08-06,0.00025683,
2012-08-07,0.00024864,
2012-08-08,0.00025338,
2012-08-09,0.00025463,
2012-08-10,0.00024642,
2012-08-11,0.00025012,
2012-08-12,0.00025981,
2012-08-13,0.00026032,
2012-08-14,0.00025997,
2012-08-15,0.00026595,
2012-08-16,0.00026172,
2012-08-17,0.00024903,
2012-08-18,0.00023922,
2012-08-19,0.00023786,
2012-08-20,0.00025427,
2012-08-21,0.00025716,
2012-08-22,0.00021910,
2012-08-23,0.00021336,
2012-08-24,0.00023772,
2012-08-25,0.00024588,
2012-08-26,0.00026314,
2012-08-27,0.00025426,
2012-08-28,0.00024079,
2012-08-29,0.00024773,
2012-08-30,0.00026540,
2012-08-31,0.00024917,
2012-09-01,0.00025756,
2012-09-02,0.00026904,
2012-09-03,0.00025685,
2012-09-04,0.00024759,
2012-09-05,0.00024919,
2012-09-06,0.00027958,
2012-09-07,0.00028660,
2012-09-08,0.00024880,
2012-09-09,0.00026346,
2012-09-10,0.00026406,
2012-09-11,0.00025092,
2012-09-12,0.00026291,
2012-09-13,0.00027415,
2012-09-14,0.00025047,
2012-09-15,0.00024011,
2012-09-16,0.00024264,
2012-09-17,0.00024890,
2012-09-18,0.00025310,
2012-09-19,0.00025258,
2012-09-20,0.00026833,
2012-09-21,0.00028221,
2012-09-22,0.00027351,
2012-09-23,0.00029242,
2012-09-24,0.00030735,
2012-09-25,0.00033426,
2012-09-26,0.00033469,
2012-09-27,0.00030714,
2012-09-28,0.00030824,
2012-09-29,0.00033576,
2012-09-30,0.00032254,
2012-10-01,0.00032732,
2012-10-02,0.00033722,
2012-10-03,0.00034770,
2012-10-04,0.00036741,
2012-10-05,0.00039395,
2012-10-06,0.00038658,
2012-10-07,0.00038002,
2012-10-08,0.00037751,
2012-10-09,0.00040113,
2012-10-10,0.00043889,
2012-10-11,0.00045972,
2012-10-12,0.00052237,
2012-10-13,0.00064098,
2012-10-14,0.00065235,
2012-10-15,0.00068154,
2012-10-16,0.00067704,
2012-10-17,0.00062543,
2012-10-18,0.00057925,
2012-10-19,0.00056469,
2012-10-20,0.00051469,
2012-10-21,0.00048189,
2012-10-22,0.00053121,
2012-10-23,0.00062287,
2012-10-24,0.00069770,
2012-10-25,0.00063748,
2012-10-26,0.00056449,
2012-10-27,0.00055452,
2012-10-28,0.00057264,
2012-10-29,0.00057062,
2012-10-30,0.00061008,
2012-10-31,0.00063623,
2012-11-01,0.00065514,
2012-11-02,0.00064831,
2012-11-03,0.00074425,
2012-11-04,0.00078868,
2012-11-05,0.00075933,
2012-11-06,0.00072382,
2012-11-07,0.00065707,
2012-11-08,0.00058677,
2012-11-09,0.00055099,
2012-11-10,0.00053097,
2012-11-11,0.00052266,
2012-11-12,0.00053168,
2012-11-13,0.00055806,
2012-11-14,0.00060106,
2012-11-15,0.00062585,
2012-11-16,0.00062159,
2012-11-17,0.00054876,
2012-11-18,0.00051805,
2012-11-19,0.00051619,
2012-11-20,0.00049866,
2012-11-21,0.00047117,
2012-11-22,0.00048284,
2012-11-23,0.00050253,
2012-11-24,0.00051234,
2012-11-25,0.00054632,
2012-11-26,0.00058521,
2012-11-27,0.00057972,
2012-11-28,0.00059926,
2012-11-29,0.00095154,
2012-11-30,0.00123866,
2012-12-01,0.00125209,
2012-12-02,0.00102512,
2012-12-03,0.00082139,
2012-12-04,0.00073218,
2012-12-05,0.00069085,
2012-12-06,0.00072007,
2012-12-07,0.00082096,
2012-12-08,0.00118778,
2012-12-09,0.00125378,
2012-12-10,0.00098343,
2012-12-11,0.00080426,
2012-12-12,0.00072558,
2012-12-13,0.00070203,
2012-12-14,0.00071673,
2012-12-15,0.00078438,
2012-12-16,0.00124522,
2012-12-17,0.00121945,
2012-12-18,0.00094578,
2012-12-19,0.00082835,
2012-12-20,0.00079988,
2012-12-21,0.00080794,
2012-12-22,0.00080224,
2012-12-23,0.00096167,
2012-12-24,0.00114755,
2012-12-25,0.00109645,
2012-12-26,0.00099848,
2012-12-27,0.00087503,
2012-12-28,0.00082305,
2012-12-29,0.00085517,
2012-12-30,0.00090439,
2012-12-31,0.00098688,
2013-01-01,0.00100524,
2013-01-02,0.00096143,
2013-01-03,0.00082967,
2013-01-04,0.00083423,
2013-01-05,0.00077523,
2013-01-06,0.00066726,
2013-01-07,0.00073055,
2013-01-08,0.00082450,
2013-01-09,0.00084319,
2013-01-10,0.00078396,
2013-01-11,0.00071933,
2013-01-12,0.00067812,
2013-01-13,0.00064450,
2013-01-14,0.00071505,
2013-01-15,0.00081477,
2013-01-16,0.00078477,
2013-01-17,0.00074458,
2013-01-18,0.00066780,
2013-01-19,0.00058106,
2013-01-20,0.00054655,
2013-01-21,0.00052156,
2013-01-22,0.00055632,
2013-01-23,0.00063640,
2013-01-24,0.00060106,
2013-01-25,0.00056240,
2013-01-26,0.00058713,
2013-01-27,0.00056520,
2013-01-28,0.00057653,
2013-01-29,0.00055136,
2013-01-30,0.00054558,
2013-01-31,0.00054017,
2013-02-01,0.00054032,
2013-02-02,0.00056775,
2013-02-03,0.00058612,
2013-02-04,0.00058979,
2013-02-05,0.00060185,
2013-02-06,0.00056844,
2013-02-07,0.00061118,
2013-02-08,0.00061289,
2013-02-09,0.00061462,
2013-02-10,0.00058025,
2013-02-11,0.00058986,
2013-02-12,0.00055836,
2013-02-13,0.00048946,
2013-02-14,0.00045836,
2013-02-15,0.00045940,
2013-02-16,0.00044973,
2013-02-17,0.00052126,
2013-02-18,0.00052838,
2013-02-19,0.00054909,
2013-02-20,0.00052017,
2013-02-21,0.00047160,
2013-02-22,0.00044761,
2013-02-23,0.00046774,
2013-02-24,0.00045301,
2013-02-25,0.00046243,
2013-02-26,0.00044776,
2013-02-27,0.00043297,
2013-02-28,0.00045060,
2013-03-01,0.00053842,
2013-03-02,0.00064923,
2013-03-03,0.00071152,
2013-03-04,0.00078409,
2013-03-05,0.00084596,
2013-03-06,0.00103717,
2013-03-07,0.00113241,
2013-03-08,0.00104591,
2013-03-09,0.00110337,
2013-03-10,0.00127074,
2013-03-11,0.00138233,
2013-03-12,0.00181015,
2013-03-13,0.00211432,
2013-03-14,0.00252298,
2013-03-15,0.00270309,
2013-03-16,0.00263807,
2013-03-17,0.00280486,
2013-03-18,0.00286325,
2013-03-19,0.00266064,
2013-03-20,0.00222815,
2013-03-21,0.00188289,
2013-03-22,0.00163731,
2013-03-23,0.00153449,
2013-03-24,0.00196046,
2013-03-25,0.00241817,
2013-03-26,0.00278864,
2013-03-27,0.00284760,
2013-03-28,0.00275294,
2013-03-29,0.00261479,
2013-03-30,0.00262477,
2013-03-31,0.00293130,
2013-04-01,0.00338800,
2013-04-02,0.00403719,
2013-04-03,0.00539388,
2013-04-04,0.00575450,
2013-04-05,0.00585536,
2013-04-06,0.00615697,
2013-04-07,0.00609296,
2013-04-08,0.00663826,
2013-04-09,0.00764554,
2013-04-10,0.00807754,
2013-04-11,0.00856885,
2013-04-12,0.00878474,
2013-04-13,0.00885844,
2013-04-14,0.00985567,
2013-04-15,0.01024344,
2013-04-16,0.01014901,
2013-04-17,0.01071195,
2013-04-18,0.01107414,
2013-04-19,0.01040887,
2013-04-20,0.01050805,
2013-04-21,0.01124378,
2013-04-22,0.01184496,
2013-04-23,0.01147906,
2013-04-24,0.01121815,
2013-04-25,0.01171136,
2013-04-26,0.01220236,
2013-04-27,0.01308125,
2013-04-28,0.01339688,
2013-04-29,0.01370522,
2013-04-30,0.01395691,4.40351725
2013-05-01,0.01411334,4.28954124
2013-05-02,0.01420143,3.78002214
2013-05-03,0.01204811,3.3904376
2013-05-04,0.01048214,3.03227091
2013-05-05,0.00979355,3.49312592
2013-05-06,0.01028472,3.59422016
2013-05-07,0.01352700,3.37086749
2013-05-08,0.01566442,3.28361988
2013-05-09,0.01622212,3.39939594
2013-05-10,0.01732414,3.4065299
2013-05-11,0.01795524,3.46038008
2013-05-12,0.01752643,3.36281109
2013-05-13,0.01787542,3.26088858
2013-05-14,0.01728419,3.28101492
2013-05-15,0.01727547,2.82399011
2013-05-16,0.01731911,2.92974305
2013-05-17,0.01688082,2.89141655
2013-05-18,0.01600248,3.19864917
2013-05-19,0.01628327,3.30205488
2013-05-20,0.01687834,3.31485009
2013-05-21,0.01633457,3.19326329
2013-05-22,0.01539985,3.09191275
2013-05-23,0.01558250,3.11852193
2013-05-24,0.01770593,3.17013001
2013-05-25,0.01856033,3.18774509
2013-05-26,0.01774185,3.12410855
2013-05-27,0.01659001,3.23070002
2013-05-28,0.01699050,3.10280037
2013-05-29,0.01760905,3.09212899
2013-05-30,0.01779421,3.07745743
2013-05-31,0.01792705,2.97139311
2013-06-01,0.01773233,2.94213581
2013-06-02,0.01749222,2.82779098
2013-06-03,0.01750506,2.73052502
2013-06-04,0.01699303,2.70330501
2013-06-05,0.01714749,2.8674674
2013-06-06,0.01743751,2.87684035
2013-06-07,0.01818421,2.7791369
2013-06-08,0.02031574,2.60405993
2013-06-09,0.01943068,2.55273461
2013-06-10,0.01806884,2.38438463
2013-06-11,0.01822182,2.49284434
2013-06-12,0.01875833,2.41216993
2013-06-13,0.02024819,2.39850903
2013-06-14,0.02108845,2.26920676
2013-06-15,0.01964500,2.1389997
2013-06-16,0.01729215,2.08581996
2013-06-17,0.01730389,2.13885903
2013-06-18,0.01972908,2.28164101
2013-06-19,0.02118923,2.30478644
2013-06-20,0.02270150,2.29816866
2013-06-21,0.02077602,2.32596111
2013-06-22,0.01973915,2.86342502
2013-06-23,0.02191026,2.89759588
2013-06-24,0.02290340,3.13449526
2013-06-25,0.02265553,2.84831095
2013-06-26,0.02257922,2.80642462
2013-06-27,0.02417953,2.88080001
2013-06-28,0.02344173,3.03684282
2013-06-29,0.02450824,2.76123214
2013-06-30,0.02330840,2.78822064
2013-07-01,0.02359733,3.00915861
2013-07-02,0.02527517,2.94967508
2013-07-03,0.02667665,2.84685397
2013-07-04,0.02552724,2.67515993
2013-07-05,0.02510684,2.7068615
2013-07-06,0.02371492,2.42302251
2013-07-07,0.02422644,2.45777678
2013-07-08,0.02791596,2.71115971
2013-07-09,0.02804214,2.5847609
2013-07-10,0.02650059,2.60924721
2013-07-11,0.02594355,2.83712006
2013-07-12,0.02446313,2.72275782
2013-07-13,0.02474968,2.80747962
2013-07-14,0.02501759,2.92842889
2013-07-15,0.02644583,2.87367344
2013-07-16,0.02797713,2.9993422
2013-07-17,0.02775413,3.07634521
2013-07-18,0.02668207,3.14510536
2013-07-19,0.02631919,2.88130379
2013-07-20,0.02564937,2.96239996
2013-07-21,0.02532826,2.87428427
2013-07-22,0.02531239,2.94577599
2013-07-23,0.02568800,2.8872323
2013-07-24,0.02725889,2.9881146
2013-07-25,0.02655765,2.94855642
2013-07-26,0.02560264,2.98315144
2013-07-27,0.02643083,2.89692783
2013-07-28,0.02511055,2.88486409
2013-07-29,0.02504684,2.94328332
2013-07-30,0.02519847,2.97261262
2013-07-31,0.02377699,3.0010097
2013-08-01,0.02278561,2.87411332
2013-08-02,0.02317062,2.94225001
2013-08-03,0.02311992,2.84242773
2013-08-04,0.02296285,3.01101542
2013-08-05,0.02472735,2.99907351
2013-08-06,0.02609233,2.84408832
2013-08-07,0.02475329,2.82161355
2013-08-08,0.02515748,2.75361848
2013-08-09,0.02450076,2.71074104
2013-08-10,0.02441117,2.68513608
2013-08-11,0.02325140,2.55130982
2013-08-12,0.02562697,2.69429994
2013-08-13,0.02657274,2.65549135
2013-08-14,0.02569909,2.75969052
2013-08-15,0.02545842,2.7352581
2013-08-16,0.02528211,2.76197362
2013-08-17,0.02491407,2.71722984
2013-08-18,0.02458346,2.80070996
2013-08-19,0.02521370,2.80048609
2013-08-20,0.02649473,2.82386994
2013-08-21,0.02685741,2.77449799
2013-08-22,0.02905493,2.69410539
2013-08-23,0.02892930,2.78159809
2013-08-24,0.02919701,2.73876691
2013-08-25,0.02812593,2.67909718
2013-08-26,0.02582538,2.57654262
2013-08-27,0.02585394,2.56829739
2013-08-28,0.02578552,2.57513285
2013-08-29,0.02773996,2.53700781
2013-08-30,0.03055146,2.53509212
2013-08-31,0.03162682,2.6564765
2013-09-01,0.03271679,2.59063387
2013-09-02,0.02869742,2.57158661
2013-09-03,0.02629995,2.55353642
2013-09-04,0.02563549,2.59953117
2013-09-05,0.02723667,2.81660724
2013-09-06,0.03276615,2.78025031
2013-09-07,0.03410770,2.68096948
2013-09-08,0.03101570,2.70479274
2013-09-09,0.02819260,2.7321012
2013-09-10,0.02668699,2.73121428
2013-09-11,0.02686177,2.64369011
2013-09-12,0.02843711,2.74895406
2013-09-13,0.02930917,2.68980742
2013-09-14,0.02920400,2.66239715
2013-09-15,0.03377882,2.58541203
2013-09-16,0.03028504,2.64729786
2013-09-17,0.03191403,2.6304841
2013-09-18,0.03130142,2.60258961
2013-09-19,0.03281498,2.54857802
2013-09-20,0.03138497,2.60956407
2013-09-21,0.03026116,2.4793334
2013-09-22,0.02995955,2.52543259
2013-09-23,0.03202206,2.52671814
2013-09-24,0.03155683,2.47184038
2013-09-25,0.03254807,2.46989822
2013-09-26,0.03422293,2.36675668
2013-09-27,0.03237621,2.4021523
2013-09-28,0.03121420,2.39180756
2013-09-29,0.03020938,2.26631999
2013-09-30,0.02911997,2.29863405
2013-10-01,0.02970396,2.34312868
2013-10-02,0.03012533,2.42047644
2013-10-03,0.03115495,1.97769594
2013-10-04,0.03125757,2.17695236
2013-10-05,0.02939625,2.19185519
2013-10-06,0.02961936,2.13334322
2013-10-07,0.03100223,2.17442393
2013-10-08,0.03040896,2.09501219
2013-10-09,0.02930375,1.98087895
2013-10-10,0.02768972,1.93130255
2013-10-11,0.02814722,2.02531743
2013-10-12,0.02775962,2.0682199
2013-10-13,0.02863179,2.12248302
2013-10-14,0.02919247,2.14893603
2013-10-15,0.03060597,2.05524206
2013-10-16,0.03126905,1.97210097
2013-10-17,0.02798871,1.91683865
2013-10-18,0.02785556,1.91598332
2013-10-19,0.03232145,1.90522015
2013-10-20,0.03097884,1.86937737
2013-10-21,0.02880158,1.93154001
2013-10-22,0.02801642,1.82102048
2013-10-23,0.02825277,1.69963443
2013-10-24,0.02879920,2.0573101
2013-10-25,0.03235155,2.29320407
2013-10-26,0.03188916,2.16129851
2013-10-27,0.03397789,2.20396805
2013-10-28,0.03431702,2.12691641
2013-10-29,0.03247969,2.17213702
2013-10-30,0.03153866,2.12974381
2013-10-31,0.02959207,2.27834201
2013-11-01,0.02925192,2.34485006
2013-11-02,0.02940736,2.4594295
2013-11-03,0.03009633,2.71700811
2013-11-04,0.03330417,2.9000566
2013-11-05,0.03270421,3.08287454
2013-11-06,0.03145155,3.04261541
2013-11-07,0.03185959,3.35997128
2013-11-08,0.03375420,4.37839508
2013-11-09,0.03752909,4.60807371
2013-11-10,0.03714991,4.3358326
2013-11-11,0.03678427,3.91142821
2013-11-12,0.03576542,4.01380205
2013-11-13,0.03492515,4.01759624
2013-11-14,0.03601793,4.10880518
2013-11-15,0.03602670,4.27378798
2013-11-16,0.03838835,4.19366407
2013-11-17,0.03898793,4.33022738
2013-11-18,0.03901066,4.12657976
2013-11-19,0.04130725,9.42268753
2013-11-20,0.04247362,7.96456432
2013-11-21,0.04173891,8.0114336
2013-11-22,0.04211001,9.36222553
2013-11-23,0.04149711,10.11698723
2013-11-24,0.04609157,10.58983517
2013-11-25,0.04428134,10.31981659
2013-11-26,0.04463572,12.3760128
2013-11-27,0.04367767,19.90896797
2013-11-28,0.04816762,38.99134827
2013-11-29,0.05233385,44.36878586
2013-11-30,0.04902034,36.94169235
2013-12-01,0.05116098,40.57338333
2013-12-02,0.05711225,34.46994781
2013-12-03,0.05795698,33.34876633
2013-12-04,0.06015479,39.32089233
2013-12-05,0.05984284,44.52996063
2013-12-06,0.06684536,37.46313858
2013-12-07,0.07380881,29.73739243
2013-12-08,0.07784560,23.17858505
2013-12-09,0.08051709,27.21146393
2013-12-10,0.07972474,31.49889565
2013-12-11,0.08185699,36.28897858
2013-12-12,0.08676302,31.23275566
2013-12-13,0.08663671,31.64802742
2013-12-14,0.09081013,31.44975662
2013-12-15,0.09102412,30.46009254
2013-12-16,0.08759885,31.39256859
2013-12-17,0.09029280,24.43333817
2013-12-18,0.09688638,21.85160446
2013-12-19,0.09140718,13.42808247
2013-12-20,0.08549811,19.85469246
2013-12-21,0.08479145,17.30760765
2013-12-22,0.08355770,16.60310936
2013-12-23,0.08099836,16.73653793
2013-12-24,0.08177462,17.81081581
2013-12-25,0.08057166,17.65055275
2013-12-26,0.08358129,21.64670181
2013-12-27,0.08868752,24.80660057
2013-12-28,0.09262145,23.19471169
2013-12-29,0.09219300,22.56226921
2013-12-30,0.08745359,23.89371109
2013-12-31,0.09217299,24.5051136
2014-01-01,0.08973143,24.34778214
2014-01-02,0.09061562,24.70367432
2014-01-03,0.08993273,25.66711426
2014-01-04,0.09684271,24.81335831
2014-01-05,0.09927153,25.03531837
2014-01-06,0.10254400,26.91143799
2014-01-07,0.10708167,29.24417877
2014-01-08,0.11108967,22.84491348
2014-01-09,0.11512722,24.48677635
2014-01-10,0.11240536,24.45240784
2014-01-11,0.11364429,24.9874897
2014-01-12,0.10982977,27.05463219
2014-01-13,0.11332309,25.13475227
2014-01-14,0.10972983,24.28329659
2014-01-15,0.11046877,24.10216141
2014-01-16,0.11593051,25.26671791
2014-01-17,0.10962753,24.4004879
2014-01-18,0.12265568,23.81292343
2014-01-19,0.11950307,24.56005478
2014-01-20,0.11229847,25.42716026
2014-01-21,0.10112089,25.20245743
2014-01-22,0.08857327,24.8455658
2014-01-23,0.07754173,23.64751625
2014-01-24,0.07431744,22.29607773
2014-01-25,0.07523304,20.70223999
2014-01-26,0.07170897,23.203022
2014-01-27,0.06736534,24.13188744
2014-01-28,0.07078656,20.12451935
2014-01-29,0.09472395,21.42344284
2014-01-30,0.09643970,21.91431046
2014-01-31,0.09008962,21.64747429
2014-02-01,0.08160059,22.09902954
2014-02-02,0.07934252,22.5049572
2014-02-03,0.08094175,22.37377167
2014-02-04,0.08964573,21.89580727
2014-02-05,0.10470387,21.52528
2014-02-06,0.10143337,20.85820961
2014-02-07,0.09004090,19.90085983
2014-02-08,0.08421948,18.53008842
2014-02-09,0.08067181,18.02235031
2014-02-10,0.07610388,18.29627991
2014-02-11,0.07328785,17.7591095
2014-02-12,0.07240361,17.40956879
2014-02-13,0.07396665,16.92671585
2014-02-14,0.07626531,15.36582565
2014-02-15,0.08859566,16.45173836
2014-02-16,0.09256215,16.0914669
2014-02-17,0.09378454,15.1361475
2014-02-18,0.08432979,15.47172737
2014-02-19,0.08012604,15.5575037
2014-02-20,0.08272727,15.70151424
2014-02-21,0.08707019,13.98104382
2014-02-22,0.09151807,13.91518021
2014-02-23,0.09215076,14.983325
2014-02-24,0.09859380,15.41858673
2014-02-25,0.09371948,14.49923897
2014-02-26,0.09343265,13.80181503
2014-02-27,0.09017930,14.25644875
2014-02-28,0.08954914,14.28622437
2014-03-01,0.10290135,13.22712803
2014-03-02,0.10091557,13.65520573
2014-03-03,0.10653776,12.77824688
2014-03-04,0.10059515,14.28829479
2014-03-05,0.11495106,16.99282265
2014-03-06,0.11851797,16.37731361
2014-03-07,0.12329158,16.48243523
2014-03-08,0.13295138,15.85789776
2014-03-09,0.14158837,15.40605164
